ciarovy_kod,vzdialenost,priemer
,537.83,404.4402
,538.83,404.4304
,539.83,404.4750
,540.83,404.5362
,541.83,404.5163
,542.83,404.4273
,543.83,404.3762
,544.83,404.3928
,545.83,404.4760
,546.83,404.5053
,547.83,404.4558
,548.83,404.3609
,549.83,404.3407
,550.83,404.3730
,551.83,404.4580
,552.83,404.4754
,553.83,404.4186
,554.83,404.3487
,555.83,404.3614
,556.83,404.4212
,557.83,404.4819
,558.83,404.4708
,559.83,404.4068
,560.83,404.3848
,561.83,404.4017
,562.83,404.4752
,563.83,404.5048
,564.83,404.4792
,565.83,404.4057
,566.83,404.3874
,567.83,404.4376
,568.83,404.5297
,569.83,404.5430
,570.83,404.4666
,571.83,404.4070
,572.83,404.4010
,573.83,404.4726
,574.83,404.5520
,575.83,404.5425
,576.83,404.4439
,577.83,404.4020
,578.83,404.4433
,579.83,404.5618
,580.83,404.6000
,581.83,404.5445
,582.83,404.4543
,583.83,404.4764
,584.83,404.5592
,585.83,404.6241
,586.83,404.5861
,587.83,404.5176
,588.83,404.4895
,589.83,404.5140
,590.83,404.5827
,591.83,404.6118
,592.83,404.5860
,593.83,404.5153
,594.83,404.4992
,595.83,404.5375
,596.83,404.6055
,597.83,404.6269
,598.83,404.5859
,599.83,404.5220
,600.83,404.5169
,601.83,404.5670
,602.83,404.6230
,603.83,404.5927
,604.83,404.5083
,605.83,404.4631
,606.83,404.4834
,607.83,404.5595
,608.83,404.5895
,609.83,404.5431
,610.83,404.4559
,611.83,404.4460
,612.83,404.5038
,613.83,404.5803
,614.83,404.5715
,615.83,404.4853
,616.83,404.4253
,617.83,404.4338
,618.83,404.5010
,619.83,404.5304
,620.83,404.5032
,621.83,404.4182
,622.83,404.3886
,623.83,404.4146
,624.83,404.4880
,625.83,404.5052
,626.83,404.4676
,627.83,404.3957
,628.83,404.4058
,629.83,404.4582
,630.83,404.5115
,631.83,404.4911
,632.83,404.4202
,633.83,404.3818
,634.83,404.4093
,635.83,404.4988
,636.83,404.5305
,637.83,404.4905
,638.83,404.3995
,639.83,404.3989
,640.83,404.4701
,641.83,404.5631
,642.83,404.5527
,643.83,404.4717
,644.83,404.4026
,645.83,404.4360
,646.83,404.5185
,647.83,404.5907
,648.83,404.5714
,649.83,404.4841
,650.83,404.4541
,651.83,404.4888
,652.83,404.5790
,653.83,404.5917
,654.83,404.5381
,655.83,404.4671
,656.83,404.4799
,657.83,404.5206
,658.83,404.5732
,659.83,404.5705
,660.83,404.5444
,661.83,404.5153
,662.83,404.5170
,663.83,404.5714
,664.83,404.6198
,665.83,404.6150
,666.83,404.5502
,667.83,404.5203
,668.83,404.5464
,669.83,404.6136
,670.83,404.6301
,671.83,404.5835
,672.83,404.5163
,673.83,404.5191
,674.83,404.5784
,675.83,404.6465
,676.83,404.6399
,677.83,404.5651
,678.83,404.5275
,679.83,404.5451
,680.83,404.6116
,681.83,404.6264
,682.83,404.5807
,683.83,404.5019
,684.83,404.4951
,685.83,404.5443
,686.83,404.6308
,687.83,404.6257
,688.83,404.5431
,689.83,404.4787
,690.83,404.4754
,691.83,404.5354
,692.83,404.5874
,693.83,404.5623
,694.83,404.4834
,695.83,404.4502
,696.83,404.4717
,697.83,404.5460
,698.83,404.5530
,699.83,404.5060
,700.83,404.4308
,701.83,404.4228
,702.83,404.4636
,703.83,404.5262
,704.83,404.5152
,705.83,404.4586
,706.83,404.4241
,707.83,404.4429
,708.83,404.5405
,709.83,404.5960
,710.83,404.5590
,711.83,404.4568
,712.83,404.4296
,713.83,404.4681
,714.83,404.5638
,715.83,404.5730
,716.83,404.5184
,717.83,404.4404
,718.83,404.4422
,719.83,404.5016
,720.83,404.5847
,721.83,404.5714
,722.83,404.4852
,723.83,404.4547
,724.83,404.4885
,725.83,404.5791
,726.83,404.6110
,727.83,404.5644
,728.83,404.4793
,729.83,404.4543
,730.83,404.5002
,731.83,404.6012
,732.83,404.6248
,733.83,404.5508
,734.83,404.4804
,735.83,404.4860
,736.83,404.5577
,737.83,404.6479
,738.83,404.6285
,739.83,404.5208
,740.83,404.4847
,741.83,404.5316
,742.83,404.6172
,743.83,404.6391
,744.83,404.5984
,745.83,404.5285
,746.83,404.5250
,747.83,404.5832
,748.83,404.6564
,749.83,404.6484
,750.83,404.5797
,751.83,404.5397
,752.83,404.5664
,753.83,404.6463
,754.83,404.6882
,755.83,404.6521
,756.83,404.5487
,757.83,404.5175
,758.83,404.5560
,759.83,404.6242
,760.83,404.6259
,761.83,404.5679
,762.83,404.5045
,763.83,404.5220
,764.83,404.5838
,765.83,404.6534
,766.83,404.6229
,767.83,404.5176
,768.83,404.4694
,769.83,404.4977
,770.83,404.5894
,771.83,404.6042
,772.83,404.5441
